ec,n_pairs,pident,coverage,covadj,neglog_e,log_alnlen,log_tlen,adversary,best_single
2_7_7_72,5,0.5,1.0,1.0,0.6,1.0,0.0,0.9600000000000001,1.0
2_7_7_8,10,0.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2_7_8_13,12,0.5694444444444444,1.0,0.986111111111111,0.9861111111111112,0.8958333333333334,0.1736111111111111,0.9583333333333334,1.0
2_7_8_7,7,0.6938775510204082,1.0,1.0,0.9591836734693877,0.7755102040816326,0.0,1.0,1.0
2_8_1_13,28,0.6288265306122449,0.9438775510204082,0.9005102040816326,0.8125,0.6938775510204082,0.03954081632653061,0.8801020408163265,0.9604591836734694
2_8_1_6,52,0.7072855029585798,1.0,0.9996301775147929,0.7536982248520709,0.75,0.7161612426035503,1.0,1.0
3_1_1_4,25,0.5272,0.5568,0.5696,0.5216000000000001,0.48,0.39039999999999997,0.4032,0.6096
3_1_1_96,10,0.58,1.0,1.0,1.0,1.0,0.0,1.0,1.0
3_1_26_11,6,0.5277777777777777,1.0,1.0,1.0,1.0,0.5555555555555556,1.0,1.0
3_1_26_3,17,0.6297577854671281,1.0,1.0,1.0,1.0,0.06574394463667821,1.0,1.0
3_1_26_4,59,0.5405056018385521,0.6426314277506464,0.649813272048262,0.4636598678540649,0.5725366274059178,0.6762424590634875,0.7652973283539213,0.6762424590634875
3_1_2_6,7,0.6428571428571428,1.0,1.0,1.0,1.0,0.0,1.0,1.0
3_1_3_11,9,0.728395061728395,0.8765432098765433,0.9753086419753086,0.8888888888888888,0.7037037037037037,0.4012345679012346,0.9506172839506173,0.9753086419753086
3_1_3_5,8,0.765625,0.96875,0.96875,0.78125,0.78125,0.671875,0.78125,0.96875
3_2_1_14,14,0.6147959183673469,0.9642857142857143,0.9642857142857142,0.989795918367347,1.0,0.5969387755102041,0.9846938775510203,1.0
3_2_1_21,9,0.5555555555555556,0.6172839506172839,0.5925925925925926,0.6666666666666666,0.8271604938271605,0.5308641975308642,0.7777777777777778,0.8271604938271605
3_2_1_23,7,0.9387755102040816,0.4693877551020408,0.7755102040816327,1.0,1.0,1.0,1.0,1.0
3_2_1_4,43,0.49783666846944297,0.7495943753380205,0.8226068144943212,0.7912385073012439,0.7517577068685776,0.5210924824229313,0.8123309897241752,0.8226068144943212
3_2_1_8,11,0.5537190082644629,0.9752066115702479,0.9090909090909092,0.8264462809917356,0.7851239669421487,0.4132231404958677,0.9008264462809917,0.9752066115702479
3_4_19_12,60,0.5995833333333332,0.6618055555555555,0.6897222222222222,0.5938888888888889,0.5940277777777778,0.42138888888888887,0.6124999999999999,0.6897222222222222
3_5_2_3,9,0.6975308641975309,1.0,1.0,1.0,0.5061728395061729,0.11728395061728394,1.0,1.0
3_5_4_19,23,0.777882797731569,1.0,1.0,0.9697542533081285,0.9943289224952742,0.9981096408317581,1.0,1.0
3_5_4_2,10,0.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3_6_1_23,24,0.5685763888888888,0.9427083333333334,0.9340277777777778,0.5416666666666667,0.5416666666666667,0.06076388888888887,0.9965277777777777,0.9427083333333334
3_6_1_31,61,0.4969094329481322,1.0,1.0,0.5952700886858372,0.3310937919914002,0.17710292932007524,1.0,1.0
3_6_1_9,18,0.5061728395061729,0.9876543209876543,0.8271604938271605,0.38888888888888884,0.38888888888888884,0.13580246913580252,1.0,0.9876543209876543
3_6_4_13,121,0.5451130387268629,0.5624615804931359,0.6550782050406393,0.5596953759989072,0.47267946178539716,0.3511372174031828,0.942490267058261,0.6550782050406393
3_6_5_2,5,0.48000000000000004,1.0,1.0,0.8400000000000001,0.8,0.0,1.0,1.0
4_1_1_11,6,0.6527777777777779,0.8333333333333335,0.8611111111111113,0.16666666666666663,0.11111111111111108,0.08333333333333331,0.7222222222222223,0.9166666666666667
4_1_1_23,37,0.9247626004382761,0.9905040175310446,0.9999999999999999,0.9941563184806428,1.0,0.9926953981008034,0.9992695398100804,1.0
4_1_1_48,32,0.51513671875,0.97265625,0.974609375,0.8583984375,1.0,0.8486328125,0.99609375,1.0
4_2_1_10,20,0.5525,1.0,1.0,0.28500000000000003,0.09750000000000004,0.052500000000000005,1.0,1.0
4_2_1_33,32,0.55615234375,0.93408203125,0.7861328125,0.6650390625,0.2685546875,0.20166015625,0.9169921875,0.93408203125
4_2_3_3,5,0.9199999999999999,0.19999999999999996,0.31999999999999995,0.0,0.0,0.0,0.8,1.0
4_2_3_4,30,0.8505555555555555,0.9633333333333334,0.9855555555555556,0.9822222222222222,0.805,0.6888888888888889,0.9888888888888888,0.9855555555555556
4_3_1_3,24,0.9253472222222222,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,1.0
4_3_3_7,8,0.96875,0.03125,0.4375,1.0,0.21875,1.0,0.921875,1.0
4_6_1_12,33,0.5642791551882461,0.9954086317722682,0.9136822773186409,0.7272727272727273,0.5316804407713499,0.19054178145087236,1.0,0.9954086317722682
5_1_1_1,20,0.53625,0.85,0.6799999999999999,0.57,0.355,0.085,0.955,0.915
5_1_1_3,10,0.5249999999999999,0.74,0.61,0.39,0.37000000000000005,0.36000000000000004,0.65,0.74
5_1_1_7,10,0.9,0.85,0.91,0.91,0.9299999999999999,0.06999999999999999,0.91,0.93
5_2_1_8,13,0.5562130177514792,0.8520710059171598,0.9053254437869822,0.893491124260355,0.8224852071005917,0.26627218934911245,0.8579881656804733,0.9053254437869822
5_3_1_1,142,0.574216425312438,0.9940735965086291,0.9748561793294982,0.3188603451696092,0.29198075778615357,0.152623487403293,0.9959829398928783,0.9940735965086291
5_3_1_24,76,0.6220567867036011,0.9849376731301939,0.8121537396121884,0.45342797783933514,0.2733725761772853,0.24437326869806092,0.9439058171745153,0.9849376731301939
5_4_2_10,18,0.5200617283950617,0.9614197530864198,0.9753086419753085,0.978395061728395,0.18364197530864196,0.08487654320987656,0.9135802469135803,0.978395061728395
5_4_2_12,6,0.888888888888889,1.0,1.0,1.0,1.0,0.9166666666666667,1.0,1.0
5_4_99_12,5,0.52,0.92,0.6,0.6799999999999999,0.0,0.07999999999999999,0.9600000000000001,1.0
5_4_99_62,10,1.0,1.0,1.0,0.51,0.0,0.0,1.0,1.0
5_6_2_3,11,0.5330578512396694,0.9173553719008265,0.9090909090909091,0.9090909090909091,0.7933884297520661,0.34710743801652894,0.884297520661157,0.9173553719008265
5_6_2_4,94,0.5546627433227705,0.9316432775011317,0.9143277501131734,0.9027840651878679,0.8899388863739248,0.6355817111815301,0.9181756450882753,0.9316432775011317
6_1_1_1,7,0.4387755102040816,1.0,1.0,1.0,1.0,0.35714285714285715,1.0,1.0
6_1_1_10,90,0.5237654320987655,1.0,1.0,1.0,0.9898765432098765,0.07567901234567898,1.0,1.0
6_1_1_11,8,0.5,0.953125,0.96875,1.0,0.96875,0.375,0.984375,1.0
6_1_1_14,18,0.5385802469135802,0.95679012345679,1.0,1.0,0.9660493827160495,0.9444444444444443,0.9444444444444444,1.0
6_1_1_15,30,0.5755555555555555,1.0,1.0,0.9677777777777778,0.9472222222222223,0.55,1.0,1.0
6_1_1_16,99,0.5435669829609223,0.9998979695949393,1.0,1.0,0.9822467095194368,0.002652790531578411,1.0,1.0
6_1_1_17,70,0.5487755102040817,0.9324489795918367,0.933877551020408,0.9455102040816327,0.2410204081632653,0.14163265306122452,0.9834693877551021,0.9455102040816327
6_1_1_19,64,0.617431640625,1.0,1.0,1.0,1.0,0.1505126953125,1.0,1.0
6_1_1_20,64,0.5924072265625,1.0,1.0,1.0,1.0,0.90576171875,1.0,1.0
6_1_1_21,37,0.5266617969320672,1.0,1.0,1.0,0.9430241051862673,0.0,1.0,1.0
6_1_1_4,80,0.596328125,0.9885937499999999,1.0,1.0,0.97609375,0.82140625,1.0,1.0
6_1_1_5,71,0.518151160484031,0.9996032533227535,1.0,1.0,0.9967268399127157,0.9861138662963698,0.9994048799841301,1.0
6_1_1_6,44,0.7182334710743801,0.9808884297520661,1.0,1.0,0.09349173553719006,0.06069214876033058,1.0,1.0
6_1_1_9,36,0.5381944444444444,0.9621913580246914,1.0,1.0,0.9768518518518519,0.9147376543209876,0.9984567901234568,1.0
6_2_1_5,6,0.6111111111111112,0.8055555555555556,0.8611111111111112,0.8611111111111112,0.7361111111111112,0.6944444444444445,0.8333333333333333,0.8611111111111112
6_3_2_1,74,0.5463842220598978,1.0,1.0,0.9926953981008035,1.0,0.9877647918188458,1.0,1.0
6_3_2_2,6,0.8472222222222223,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6_3_2_4,8,0.640625,1.0,1.0,0.828125,0.75,0.25,0.90625,1.0
6_3_2_8,21,0.5873015873015872,0.9546485260770975,1.0,1.0,0.8616780045351474,0.6213151927437641,1.0,1.0
6_3_2_9,55,0.5018181818181818,0.9940495867768595,1.0,1.0,0.7912396694214876,0.15867768595041323,1.0,1.0
6_3_4_19,44,0.6867252066115702,1.0,1.0,0.9989669421487604,1.0,0.853305785123967,1.0,1.0
6_3_4_20,8,0.890625,1.0,1.0,1.0,1.0,0.0,1.0,1.0
6_3_5_2,6,0.7777777777777778,1.0,1.0,1.0,0.9722222222222223,0.6111111111111113,1.0,1.0
6_5_1_1,5,0.74,0.6000000000000001,0.8,0.15999999999999998,0.19999999999999996,0.2,0.6400000000000001,0.8400000000000001
7_1_1_2,42,0.6448412698412699,0.7998866213151927,0.7125850340136054,0.3543083900226757,0.33900226757369617,0.2624716553287982,0.8049886621315194,0.7998866213151927
7_1_1_9,9,0.6419753086419753,0.23456790123456792,0.22222222222222227,0.1975308641975309,0.12962962962962968,0.09876543209876543,0.802469135802469,0.9012345679012346
7_4_2_8,12,0.65625,0.7916666666666667,0.6319444444444445,0.6180555555555556,0.5555555555555556,0.4722222222222222,0.4652777777777778,0.7916666666666667
