ec,n_pairs,pident,coverage,covadj,neglog_e,log_alnlen,log_tlen,hmm_bitscore,hmm_neglog_e,adversary,best_single
2_4_1_227,14,0.34438775510204084,1.0,1.0,1.0,0.8520408163265306,0.4285714285714286,1.0,1.0,1.0,1.0
2_4_2_10,37,0.46384222059897734,0.9700511322132943,0.9758948137326515,1.0,0.9978086194302411,0.8363769174579986,1.0,1.0,1.0,1.0
2_4_2_18,21,0.42517006802721086,1.0,1.0,0.9183673469387755,1.0,0.9047619047619048,1.0,1.0,1.0,1.0
2_4_2_7,55,0.42247933884297517,0.9996694214876033,1.0,0.9999999999999999,0.9814876033057852,0.01636363636363636,1.0,1.0,1.0,1.0
2_4_2_9,27,0.4478737997256515,0.934156378600823,1.0,1.0,1.0,0.5438957475994513,1.0,1.0,1.0,1.0
2_5_1_141,56,0.45487882653061223,0.7461734693877551,0.9999999999999999,1.0,0.8177614795918368,0.6017219387755102,0.9999999999999999,1.0,1.0,1.0
2_5_1_18,27,0.4588477366255144,0.7866941015089163,0.5308641975308641,0.5061728395061729,0.5,0.3895747599451303,0.6186556927297668,0.6179698216735254,0.7640603566529492,0.7866941015089163
2_5_1_19,30,0.43000000000000005,0.9855555555555555,1.0,0.9955555555555555,0.9516666666666667,0.9566666666666667,1.0,1.0,1.0,1.0
2_5_1_3,17,0.40657439446366783,0.9100346020761244,0.8927335640138407,0.16955017301038067,0.16955017301038067,0.16955017301038064,1.0,1.0,1.0,1.0
2_5_1_61,6,0.3611111111111111,1.0,1.0,1.0,1.0,0.13888888888888887,1.0,1.0,1.0,1.0
2_5_1_75,22,0.375,0.9772727272727273,1.0,1.0,0.7902892561983471,0.5929752066115702,1.0,1.0,1.0,1.0
2_6_1_9,9,0.4320987654320988,0.7160493827160495,0.8641975308641976,0.7530864197530864,0.30246913580246915,0.08641975308641975,0.7283950617283952,0.7283950617283952,0.7777777777777779,0.9135802469135803
2_7_10_1,38,0.45914127423822715,0.85595567867036,0.8372576177285319,0.9037396121883656,0.942174515235457,0.7309556786703603,0.7077562326869806,0.7077562326869806,0.9722991689750692,0.942174515235457
2_7_11_1,229,0.48389618809709956,0.5027745466333594,0.5416849411719837,0.5554909326671879,0.5857916515703362,0.6232909364809976,0.4229896455063786,0.4230468526534582,0.7252912797238802,0.6232909364809976
2_7_13_3,122,0.48908223595807576,0.32047836603063695,0.278083848427842,0.7628325718892771,0.9871338349905939,0.8667696855683955,0.9918032786885246,0.9918032786885246,0.9981187852727762,0.9918032786885246
2_7_1_148,23,0.41304347826086957,0.9527410207939508,1.0,1.0,0.8090737240075614,0.19848771266540643,1.0,1.0,1.0,1.0
2_7_1_23,9,0.345679012345679,1.0,0.9012345679012346,0.7160493827160495,0.6296296296296297,0.061728395061728426,0.8395061728395062,0.8395061728395062,1.0,1.0
2_7_1_24,5,0.28,1.0,1.0,1.0,1.0,0.56,1.0,1.0,1.0,1.0
2_7_1_39,8,0.3828125,1.0,1.0,1.0,1.0,0.7421875,0.671875,0.671875,1.0,1.0
2_7_1_71,37,0.4674945215485756,0.9970781592403214,0.943754565376187,0.37691745799853904,0.30679327976625276,0.12673484295105916,0.3539079620160701,0.3539079620160701,0.9970781592403214,0.9970781592403214
2_7_2_1,13,0.39644970414201186,0.9053254437869822,0.5266272189349113,0.46745562130177515,0.8698224852071006,0.15088757396449703,0.32544378698224846,0.3254437869822485,0.9289940828402367,0.9053254437869822
2_7_2_8,14,0.23214285714285715,1.0,1.0,0.2142857142857143,0.03826530612244898,0.0,0.2142857142857143,0.2142857142857143,1.0,1.0
2_7_4_25,106,0.4855375578497686,0.9771715913136347,1.0,1.0,0.9181203275186899,0.6697223211107155,1.0,1.0,1.0,1.0
2_7_4_3,84,0.4645691609977324,0.8504109977324263,0.9322562358276644,0.9063208616780045,0.7596371882086167,0.3344671201814059,0.6327239229024944,0.6329365079365079,0.9848356009070295,0.9322562358276644
2_7_4_6,22,0.4555785123966942,0.7458677685950414,0.6528925619834711,0.6528925619834711,0.44834710743801653,0.3677685950413223,0.8429752066115703,0.8223140495867768,0.9194214876033058,0.8429752066115703
2_7_4_8,8,0.40625,1.0,1.0,1.0,1.0,0.09375,1.0,1.0,1.0,1.0
2_7_4_9,7,0.3673469387755102,0.979591836734694,1.0,1.0,0.989795918367347,0.6530612244897959,1.0,1.0,0.9183673469387755,1.0
2_7_7_18,45,0.47135802469135807,0.8933333333333333,1.0,1.0,0.7965432098765433,0.9960493827160494,1.0,1.0,1.0,1.0
2_7_7_3,34,0.4610726643598616,0.7577854671280276,0.8987889273356402,1.0,0.5549307958477508,0.2707612456747405,0.7184256055363322,0.7184256055363322,1.0,1.0
2_7_7_38,5,0.36,0.84,0.76,0.76,0.76,0.56,0.6799999999999999,0.6799999999999999,0.92,0.84
2_7_7_8,8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2_7_8_13,6,0.3055555555555556,0.9444444444444445,1.0,1.0,0.8055555555555557,0.2222222222222222,1.0,1.0,1.0,1.0
2_7_8_7,5,0.4,1.0,1.0,0.7200000000000002,0.8400000000000001,0.0,0.27999999999999997,0.27999999999999997,0.9600000000000001,1.0
2_8_1_13,31,0.3069719042663892,0.9885535900104058,0.9562955254942768,0.9177939646201874,0.7252861602497399,0.03225806451612902,0.9427679500520292,0.9427679500520292,0.9979188345473464,0.9885535900104058
2_8_1_6,14,0.3826530612244898,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3_1_1_4,32,0.4384765625,0.4287109375,0.501953125,0.6337890625,0.61572265625,0.6142578125,0.609375,0.609375,0.873046875,0.6337890625
3_1_26_11,5,0.38,0.8800000000000001,1.0,1.0,0.9400000000000001,0.48000000000000004,0.88,0.88,0.9600000000000001,1.0
3_1_26_4,48,0.44878472222222227,0.5611979166666666,0.5842013888888888,0.4952256944444444,0.3220486111111111,0.3572048611111111,0.6065538194444445,0.6226128472222223,0.7756076388888888,0.6779513888888888
3_1_3_5,14,0.4209183673469387,0.8622448979591837,0.6173469387755103,0.7142857142857143,0.7066326530612245,0.548469387755102,0.6173469387755102,0.6173469387755102,0.8112244897959183,0.8622448979591837
3_2_1_14,27,0.46021947873799723,0.953360768175583,0.9561042524005487,0.9684499314128944,0.9629629629629628,0.6481481481481481,0.8888888888888888,0.8518518518518519,0.9643347050754457,0.9684499314128944
3_2_1_21,14,0.3928571428571429,0.903061224489796,0.6020408163265305,0.8367346938775511,0.8443877551020409,0.5816326530612245,0.0,0.0,0.8775510204081632,1.0
3_2_1_4,41,0.4440809042236764,0.7870315288518738,0.8221296847114813,0.8036882807852469,0.7674003569303984,0.4812611540749554,0.6585365853658537,0.6585365853658537,0.8084473527662106,0.8221296847114813
3_2_1_8,10,0.435,0.9700000000000001,0.93,0.89,0.8200000000000001,0.35,0.95,0.95,0.9600000000000001,0.9700000000000001
3_4_19_12,49,0.42440649729279467,0.6026655560183257,0.5914202415660141,0.5310287380258225,0.5591420241566014,0.3373594335693461,0.6251561849229488,0.6251561849229488,0.8213244481466055,0.6626405664306538
3_5_4_19,13,0.44082840236686394,1.0,1.0,0.9289940828402367,0.9911242603550297,1.0,1.0,1.0,1.0,1.0
3_5_4_2,9,0.3703703703703704,1.0,1.0,1.0,0.9382716049382716,0.8765432098765431,1.0,1.0,1.0,1.0
3_6_1_23,12,0.3993055555555556,1.0,1.0,1.0,0.9583333333333333,0.2777777777777778,0.9583333333333333,0.875,1.0,1.0
3_6_1_31,53,0.4747241011035956,0.9811320754716981,0.9644001423994304,0.5731577073691706,0.43770024919900324,0.26165895336418654,0.2912068351726593,0.29138483446066216,0.9814880740477038,0.9811320754716981
3_6_1_9,11,0.2809917355371901,0.9669421487603306,0.6363636363636364,0.2727272727272727,0.2727272727272727,0.10743801652892565,1.0,1.0,1.0,1.0
3_6_4_13,82,0.43582688875669245,0.5589678762641285,0.5783759666864962,0.5678911362284356,0.5811273051754908,0.48832540154669835,0.5762938726948245,0.5762938726948245,0.7535693039857229,0.5811273051754908
4_1_1_23,8,0.421875,1.0,1.0,0.78125,1.0,0.96875,0.765625,0.765625,1.0,1.0
4_1_1_48,25,0.452,1.0,0.984,0.8176,1.0,0.8256,1.0,1.0,1.0,1.0
4_2_1_10,26,0.46893491124260356,0.9999999999999999,1.0,0.2943786982248521,0.1479289940828402,0.11094674556213015,0.9807692307692308,0.9807692307692308,1.0,1.0
4_2_1_33,26,0.419378698224852,0.9171597633136095,0.6730769230769231,0.3949704142011834,0.2130177514792899,0.2107988165680473,0.5488165680473372,0.5488165680473372,0.9763313609467456,0.9171597633136095
4_2_3_4,59,0.4303361103131284,0.9988509049123816,0.9968399885090492,0.9951163458776213,0.9563343866704971,0.9345015800057455,0.9965527147371445,0.9965527147371445,0.9948290721057167,0.9988509049123816
4_3_1_3,8,0.3203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4_6_1_12,14,0.37244897959183676,1.0,0.9387755102040816,0.6683673469387755,0.6071428571428572,0.2857142857142857,0.8367346938775511,0.8367346938775511,1.0,1.0
5_1_1_1,19,0.34487534626038785,0.9806094182825486,0.5650969529085873,0.2631578947368421,0.16481994459833793,0.016620498614958464,0.9612188365650969,0.9612188365650969,0.9501385041551247,0.9833795013850415
5_1_1_3,6,0.41666666666666663,0.8055555555555557,0.5833333333333334,0.16666666666666663,0.13888888888888887,0.16666666666666663,0.9722222222222223,0.9722222222222223,1.0,0.9722222222222223
5_2_1_8,26,0.4260355029585799,0.9171597633136095,0.9201183431952663,0.9053254437869822,0.8609467455621301,0.7196745562130178,0.7307692307692308,0.7307692307692308,0.977810650887574,0.9201183431952663
5_3_1_1,9,0.3703703703703704,0.8271604938271605,0.6296296296296297,0.5679012345679013,0.7592592592592593,0.17283950617283952,0.5802469135802469,0.5802469135802469,0.6049382716049383,0.8271604938271605
5_3_1_16,5,0.32,1.0,1.0,1.0,1.0,0.54,1.0,1.0,1.0,1.0
5_3_1_24,55,0.460495867768595,0.9993388429752066,0.6753719008264463,0.39834710743801655,0.2752066115702479,0.22925619834710742,0.8282644628099174,0.8279338842975207,1.0,0.9993388429752066
5_4_2_10,10,0.41999999999999993,1.0,1.0,1.0,0.26,0.0,1.0,1.0,1.0,1.0
5_6_2_3,7,0.3673469387755102,0.8979591836734694,0.9387755102040816,0.9387755102040817,0.8367346938775511,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.8979591836734694,0.9387755102040817
5_6_2_4,64,0.461669921875,0.911376953125,0.901123046875,0.84912109375,0.8607177734375,0.5828857421875,0.7060546875,0.7059326171875,0.93408203125,0.911376953125
6_1_1_1,12,0.3368055555555556,1.0,1.0,1.0,1.0,0.3090277777777778,1.0,1.0,1.0,1.0
6_1_1_10,49,0.4729279466888796,1.0,1.0,1.0,0.994585589337776,0.1428571428571429,1.0,1.0,1.0,1.0
6_1_1_14,21,0.42743764172335597,1.0,1.0,1.0,1.0,0.9047619047619048,1.0,1.0,1.0,1.0
6_1_1_15,25,0.3176,1.0,1.0,1.0,0.9744,0.6584000000000001,1.0,1.0,1.0,1.0
6_1_1_16,62,0.4639698231009365,0.9997398543184184,1.0,1.0,0.9968782518210197,0.07622268470343392,1.0,1.0,1.0,1.0
6_1_1_17,70,0.4790816326530612,0.9853061224489796,1.0,0.8239795918367347,0.2744897959183673,0.25357142857142856,0.9985714285714287,0.9985714285714287,1.0,1.0
6_1_1_19,86,0.43435640886965926,1.0,0.9999999999999999,1.0,1.0,0.19415900486749596,1.0,1.0,1.0,1.0
6_1_1_20,39,0.4490466798159106,1.0,1.0,1.0,1.0,0.7751479289940828,1.0,1.0,1.0,1.0
6_1_1_21,20,0.44875,1.0,1.0,1.0,0.88,0.0050000000000000044,1.0,0.9999999999999999,1.0,1.0
6_1_1_4,60,0.46013888888888893,0.9941666666666666,0.9980555555555555,1.0,0.9897222222222222,0.9169444444444443,0.9991666666666666,0.9991666666666666,0.9877777777777778,1.0
6_1_1_5,89,0.4773387198586037,0.9994950132559021,1.0,1.0,0.9936876656987754,0.9782855700037874,1.0,1.0,0.999747506627951,1.0
6_1_1_6,33,0.4403122130394858,0.9715335169880626,1.0,1.0,0.25436179981634527,0.2300275482093664,0.8879706152433426,0.8879706152433426,1.0,1.0
6_1_1_9,29,0.4417360285374554,0.9750297265160524,1.0,1.0,0.9785969084423305,0.9143876337693223,1.0,1.0,1.0,1.0
6_3_2_1,43,0.45727420227149806,1.0,1.0,0.9891833423472147,1.0,1.0,1.0,1.0,1.0,1.0
6_3_2_2,12,0.42361111111111116,1.0,1.0,0.9375,0.9305555555555556,0.9166666666666666,1.0,1.0,0.9375,1.0
6_3_2_4,21,0.3446712018140589,0.8503401360544217,0.8866213151927437,0.8775510204081634,0.9149659863945578,0.29024943310657597,0.8775510204081634,0.8775510204081634,0.873015873015873,0.9149659863945578
6_3_2_8,21,0.3594104308390023,0.9909297052154196,1.0,1.0,0.8639455782312925,0.6780045351473923,1.0,1.0,1.0,1.0
6_3_2_9,40,0.4696875000000001,0.999375,1.0,1.0,0.704375,0.19,1.0,1.0,1.0,1.0
6_3_4_19,76,0.4417416897506925,1.0,1.0,0.8957756232686981,0.9999999999999999,0.9291031855955678,1.0,1.0,1.0,1.0
6_3_5_2,5,0.36,1.0,1.0,1.0,1.0,0.84,1.0,1.0,1.0,1.0
7_1_1_2,24,0.38020833333333337,0.5815972222222223,0.4982638888888889,0.42708333333333337,0.3480902777777778,0.27690972222222227,0.7144097222222222,0.6414930555555555,0.736111111111111,0.7230902777777777
7_1_1_9,8,0.1875,0.9375,1.0,0.125,0.109375,0.109375,0.25,0.25,0.875,1.0
7_4_2_8,11,0.36363636363636365,0.909090909090909,0.5206611570247934,0.5867768595041322,0.5743801652892562,0.5619834710743802,0.6033057851239669,0.6198347107438017,0.8264462809917354,0.909090909090909
